Location,School Management,School Category,Academic Qualification,Professional Qualification,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Total
All India,Central Tibetan School,HSS (I-XII),Below Secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
All India,Central Tibetan School,HSS (I-XII),Graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,6,6,4,4,10,10,20,0,0,0,1,4,5,8,9,11,0,0,9,12,21,0,8,0,8,8
All India,Central Tibetan School,HSS (I-XII),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Graduate,None,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Graduate,Others,0,0,0,0,0,0,0,0,0,1,3,1,3,4,1,1,0,2,2,6,4,0,2,2,0,2,4,6,0,0,2,0,2
All India,Central Tibetan School,HSS (I-XII),Graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
All India,Central Tibetan School,HSS (I-XII),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Higher secondary,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,0,0,1,0,1,0,0,10,2,10,2,12,0,0,0,0,10,2,20,0,2,0,0,0,2,2,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Higher secondary,Others,1,0,0,0,1,0,1,0,0,4,3,4,3,7,0,0,0,1,4,4,8,1,1,0,0,1,2,3,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),Post Doctoral,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Central Tibetan School,HSS (I-XII),Post graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,4,0,0,0,1,1
All India,Central Tibetan School,HSS (I-XII),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,2,2,1,0,3,2,5,1,0,0,2,2,2,4,7,9,13,6,20,17,37,15,4,28,10,38
All India,Central Tibetan School,HSS (I-XII),Post graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,2,2,4
All India,Central Tibetan School,HSS (I-XII),Post graduate,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Central Tibetan School,HSS (I-XII),Post graduate,Others,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,4,2,0,1,0,1,1,5,6,0,0,0,1,1
All India,Central Tibetan School,HSS (I-XII),Post graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,0,0,0,0,2,1,3,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,HSS (I-XII),,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,HSS (IX-XII),Graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Central Tibetan School,HSS (IX-XII),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,6,7,13,1,1,5,5,10
All India,Central Tibetan School,HSS (IX-XII),Post graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,2
All India,Central Tibetan School,HSS (VI-XII),Graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2
All India,Central Tibetan School,HSS (VI-XII),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
All India,Central Tibetan School,HSS (VI-XII),Higher secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,HSS (VI-XII),M.Phil,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,2
All India,Central Tibetan School,HSS (VI-XII),Ph.D,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,2
All India,Central Tibetan School,HSS (VI-XII),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1,3,4,6,10,0,0,1,3,4
All India,Central Tibetan School,HSS (VI-XII),Post graduate,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Central Tibetan School,HSS (VI-XII),Post graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
All India,Central Tibetan School,HSS (VI-XII),,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Central Tibetan School,PS (I-V),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Graduate,B.Ed. or equivalent,0,0,1,0,1,0,1,3,4,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Higher secondary,Others,0,0,0,0,0,0,0,2,2,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,PS (I-V),Post graduate,Others,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,4,0,1,1,5,1,6,0,0,1,2,2,3,4,5,3,0,0,6,5,11,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Graduate,Others,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,1,2,1,3,2,0,0,0,0,1,2,3,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Higher secondary,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,3,6,3,6,9,0,1,1,0,4,7,8,0,0,0,0,1,0,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Higher secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Higher secondary,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),M.Phil,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,2,0,1,0,3,0,3,1,0,2,0,4,0,8,1,1,0,0,3,1,4,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Post graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,2,3,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,4,1,4,2,6,0,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Graduate,B.Ed. or equivalent,4,0,0,0,4,0,4,2,1,1,2,3,3,6,3,2,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Graduate,None,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
